id;text;created_at;media_url
1;vízi hídőr;2024-07-17T14:18:15;gyalog
2;dzsóker bárcsak leszoktat;2024-07-18T06:42:27;including kirándul akadályoztat
3;kőbányász;2024-07-17T17:52:11;ám ezért
4;sisa ojjé;2024-07-17T21:15:32;plusz
5;gyöngybagoly;2024-07-18T09:48:42;jaj passz nyirokszövet
6;tavaly állócsiga evakuál;2024-07-17T19:17:52;zaboláz ahonnét
7;likvid;2024-07-18T07:25:47;miként ágynemű
8;ojjé klappol tápászkodik;2024-07-17T13:14:53;belőle ojjé ohohó
9;bankjegykiadó;2024-07-17T19:36:52;fülfolyás fönn
10;unlike;2024-07-17T22:36:20;mindenkor
